Month, Region, Zip, Sales Person, Category, Product, Total
Dec,South,15215,Dwight,Paper,Card Stock,2464.99
Sept,North,15203,Michael,Paper,Bond-30,246.95
Jan,East,15218,Jim,Paper,Bond-30,1192.31
Jan,East,15217,Dwight,Paper,Laser-24,1928.28
Nov,East,15217,Jim,Paper,Bond-20,1257.04
May,East,15217,Jim,Paper,Bond-50,736.92
Jan,East,15218,Michael,Copier,S400,1121.07
Nov,East,15226,Jim,Paper,Bond-20,1919.31
Mar,South,15211,Dwight,Paper,Bond-30,1798.34
July,West,15238,Packer,Copier,S200,993.64
Mar,South,15210,Jim,Paper,Laser-24,617.69
July,East,15218,Jim,Paper,Bond-50,458.43
Sept,West,15234,Michael,Paper,Bond-40,2327.30
Oct,East,15218,Pam,Copier,S450,1667.12
Aug,East,15220,Jim,Paper,Bond-30,2158.30
Oct,East,15220,Jim,Paper,Bond-30,1256.81
Aug,East,15217,Dwight,Copier,S200,1346.72
May,East,15219,Jim,Paper,Bond-20,977.08
Jan,East,15224,Dwight,Copier,S400,176.09
Apr,East,15226,Dwight,Paper,Bond-50,183.20
Mar,South,15216,Ryan,Paper,Bond-20,670.75
June,East,15219,Jim,Paper,Bond-30,1473.35
Jan,East,15224,Jim,Paper,Card Stock,313.37
Feb,North,15120,Andy,Paper,Bond-30,2194.56
Apr,West,15260,Dwight,Paper,Card Stock,1357.23
July,East,15224,Michael,Copier,S400,1288.92
Aug,South,15208,Packer,Paper,Bond-20,2092.34
May,East,15221,Packer,Copier,S300,1948.89
May,North,15204,Pam,Paper,Bond-30,1289.34
Dec,East,15220,Dwight,Copier,S100,1061.72
Aug,North,15204,Jim,Paper,Card Stock,1186.57
July,East,15219,Dwight,Paper,Bond-50,2398.89
Sept,North,15203,Jim,Paper,Bond-40,1652.08
Aug,West,15232,Danny,Paper,Bond-50,392.60
Nov,East,15220,Dwight,Copier,S200,2033.50
Nov,East,15218,Dwight,Paper,Bond-20,2393.57
Mar,East,15221,Jim,Paper,Bond-30,985.25
June,East,15217,Jim,Paper,Bond-50,1135.72
Dec,South,15213,Dwight,Paper,Bond-20,63.96
July,East,15220,Jim,Copier,S100,871.75
Jan,East,15217,Packer,Paper,Laser-24,1536.92
Apr,East,15217,Dwight,Paper,Bond-50,2367.98
Feb,North,15120,Jim,Paper,Card Stock,1071.96
Jan,East,15221,Jim,Copier,S400,1391.66
Sept,South,15208,Michael,Paper,Card Stock,424.83
May,West,15227,Dwight,Paper,Bond-40,1131.42
Aug,East,15218,Dwight,Paper,Bond-40,519.88
Nov,East,15221,Dwight,Paper,Bond-50,2169.63
May,South,15210,Jim,Paper,Bond-30,2213.75
May,North,15207,Jim,Paper,Bond-20,2051.43
Feb,South,15215,Packer,Paper,Laser-24,2331.28
Jan,East,15220,Jim,Paper,Card Stock,743.07
June,North,15106,Jim,Paper,Bond-50,2148.21
Feb,West,15233,Packer,Paper,Bond-20,549.72
Dec,North,15204,Dwight,Paper,Bond-30,2016.68
June,East,15220,Packer,Paper,Bond-40,2405.84
Apr,East,15226,Dwight,Paper,Card Stock,582.19
Apr,North,15205,Jim,Paper,Bond-30,609.67
Dec,North,15201,Dwight,Copier,S200,883.83
June,South,15214,Dwight,Paper,Bond-30,1042.34
Apr,East,15224,Michael,Paper,Bond-20,608.83
Nov,South,15211,Michael,Paper,Bond-30,325.73
Nov,North,15203,Packer,Paper,Card Stock,886.45
Apr,North,15203,Dwight,Copier,S200,333.79
Aug,East,15219,Pam,Copier,S400,1177.40
Nov,East,15224,Andy,Paper,Bond-50,1014.24
Mar,East,15220,Dwight,Paper,Bond-30,2048.60
Dec,East,15222,Dwight,Paper,Laser-24,363.76
May,East,15221,Packer,Paper,Bond-50,757.64
Apr,North,15206,Dwight,Paper,Laser-24,461.03
May,West,15232,Michael,Paper,Bond-50,1824.59
Sept,North,15203,Packer,Paper,Card Stock,1703.65
May,East,15221,Jim,Paper,Card Stock,1710.39
June,South,15213,Jim,Copier,S300,435.35
Sept,East,15219,Dwight,Paper,Bond-40,337.59
Apr,East,15220,Dwight,Paper,Bond-30,1205.97
Feb,East,15220,Dwight,Paper,Bond-40,1603.95
Oct,North,15206,Danny,Paper,Bond-50,1169.02
Aug,East,15222,Jim,Paper,Bond-20,2395.23
Mar,East,15218,Jim,Paper,Bond-20,655.71
Feb,East,15226,Dwight,Paper,Bond-30,2128.29
Nov,South,15216,Andy,Paper,Bond-50,1230.01
Feb,East,15220,Dwight,Copier,S200,1237.65
June,East,15222,Jim,Paper,Bond-30,345.15
June,North,15207,Dwight,Paper,Bond-30,408.46
Nov,West,15234,Packer,Paper,Card Stock,1852.37
Feb,North,15201,Dwight,Paper,Bond-20,1388.17
July,East,15220,Dwight,Paper,Bond-40,1713.43
Sept,East,15224,Michael,Paper,Bond-50,1024.56
Dec,North,15207,Jim,Paper,Bond-20,415.90
Feb,East,15219,Jim,Paper,Bond-20,1425.99
Oct,East,15217,Danny,Paper,Laser-24,1443.85
Nov,North,15120,Jim,Paper,Card Stock,101.81
June,North,15204,Dwight,Paper,Bond-40,2326.17
June,East,15219,Dwight,Paper,Laser-24,1775.51
Sept,East,15217,Dwight,Paper,Bond-30,375.93
Mar,East,15219,Jim,Paper,Card Stock,259.77
June,East,15226,Packer,Paper,Card Stock,1649.97
July,West,15236,Dwight,Paper,Laser-24,852.64
Oct,East,15219,Jim,Paper,Laser-24,481.49
May,East,15224,Dwight,Paper,Bond-20,1148.71
Oct,East,15224,Dwight,Paper,Card Stock,1166.88
July,East,15220,Dwight,Paper,Bond-30,708.29
Jan,South,15213,Dwight,Paper,Bond-20,2317.37
June,East,15217,Dwight,Paper,Laser-24,2471.79
Feb,South,15208,Michael,Paper,Bond-40,2109.13
Oct,North,15205,Dwight,Paper,Bond-30,1353.54
Oct,West,15290,Jim,Paper,Bond-50,2318.90
Feb,West,15236,Packer,Copier,S100,2104.18
Feb,East,15221,Packer,Paper,Bond-50,320.88
Apr,East,15222,Jim,Paper,Bond-30,307.13
Mar,North,15106,Dwight,Paper,Bond-20,1386.52
May,East,15224,Dwight,Paper,Card Stock,2183.05
Feb,East,15219,Packer,Paper,Bond-20,1408.18
May,East,15220,Michael,Paper,Bond-20,1537.64
July,East,15226,Jim,Paper,Laser-24,356.09
Jan,North,15120,Dwight,Copier,S400,867.21
May,East,15222,Dwight,Copier,S450,306.63
Dec,North,15106,Dwight,Paper,Bond-40,940.32
Dec,North,15206,Jim,Paper,Bond-40,2465.21
Feb,East,15222,Dwight,Paper,Card Stock,1311.79
Jan,East,15218,Pam,Paper,Card Stock,973.53
Feb,North,15207,Dwight,Copier,S100,1632.22
Aug,East,15221,Dwight,Paper,Card Stock,2357.33
Mar,North,15203,Packer,Paper,Bond-50,1880.97
Jan,South,15208,Pam,Paper,Bond-30,1220.50
Feb,East,15218,Dwight,Paper,Bond-50,2048.05
Jan,South,15214,Jim,Paper,Bond-40,762.10
Dec,South,15211,Michael,Paper,Card Stock,201.08
Aug,South,15214,Pam,Paper,Laser-24,1925.99
Apr,East,15217,Jim,Paper,Bond-40,1658.76
Aug,South,15212,Dwight,Paper,Laser-24,386.20
Feb,East,15226,Michael,Paper,Bond-40,1865.25
July,East,15219,Dwight,Paper,Bond-30,1281.39
Sept,West,15227,Dwight,Copier,S300,1687.93
Oct,North,15201,Dwight,Paper,Bond-50,1665.21
Sept,East,15222,Dwight,Paper,Bond-50,1517.94
Dec,East,15226,Dwight,Paper,Bond-50,610.74
Jan,East,15220,Packer,Paper,Bond-20,1516.53
Nov,South,15212,Dwight,Paper,Card Stock,925.91
July,West,15227,Packer,Copier,S300,2310.05
Jan,South,15208,Jim,Paper,Bond-40,1960.76
May,North,15203,Jim,Paper,Bond-50,1598.96
Sept,North,15106,Andy,Paper,Bond-20,1582.65
May,South,15214,Jim,Paper,Bond-50,641.81
Sept,East,15221,Pam,Copier,S200,1272.49
Nov,East,15217,Ryan,Copier,S300,176.52
Mar,North,15205,Jim,Copier,S100,1317.50
July,East,15217,Jim,Paper,Bond-50,750.41
July,East,15224,Dwight,Paper,Bond-20,1690.17
June,South,15214,Packer,Paper,Bond-30,752.91
Nov,East,15226,Dwight,Copier,S200,1745.39
July,South,15216,Jim,Paper,Bond-20,1989.08
Jan,North,15206,Packer,Paper,Bond-40,2471.25
Dec,North,15207,Packer,Copier,S200,2317.33
Jan,North,15207,Jim,Paper,Bond-40,1127.58
Aug,West,15233,Jim,Paper,Bond-30,2290.45
Feb,North,15106,Dwight,Paper,Bond-20,518.36
July,West,15260,Dwight,Paper,Bond-50,2018.64
July,East,15221,Jim,Paper,Card Stock,2315.24
Oct,West,15290,Jim,Copier,S300,1711.78
Aug,East,15219,Jim,Paper,Bond-20,1009.55
May,East,15217,Pam,Paper,Bond-40,646.36
June,East,15226,Jim,Paper,Bond-50,571.83
Mar,South,15216,Jim,Paper,Bond-20,2351.11
Sept,West,15238,Jim,Paper,Card Stock,2072.75
Apr,North,15206,Dwight,Paper,Bond-30,1850.41
Dec,West,15234,Jim,Paper,Bond-40,1790.72
Oct,East,15222,Andy,Paper,Bond-20,68.75
Apr,West,15260,Packer,Paper,Laser-24,1761.40
Sept,East,15221,Packer,Paper,Bond-20,1623.96
Dec,East,15226,Packer,Paper,Card Stock,489.54
Apr,East,15218,Michael,Paper,Laser-24,1985.66
Jan,East,15219,Danny,Paper,Bond-50,710.72
Mar,North,15207,Ryan,Paper,Bond-30,489.99
Nov,North,15203,Dwight,Paper,Bond-20,750.05
Jan,South,15216,Michael,Paper,Bond-40,1285.66
Oct,North,15201,Jim,Paper,Laser-24,1970.94
Mar,East,15219,Dwight,Copier,S100,597.00
Nov,East,15226,Jim,Copier,S450,1443.52
Oct,East,15218,Dwight,Paper,Card Stock,497.75
Oct,East,15222,Dwight,Paper,Bond-30,1354.50
July,South,15210,Jim,Paper,Bond-50,2497.67
Aug,East,15226,Jim,Paper,Bond-20,224.45
Apr,East,15220,Jim,Paper,Laser-24,195.48
Jan,East,15219,Dwight,Paper,Bond-50,1669.51
Apr,East,15219,Jim,Paper,Bond-20,894.02
June,East,15217,Jim,Paper,Bond-40,1468.98
Aug,South,15213,Dwight,Paper,Bond-50,1602.36
July,East,15220,Jim,Paper,Laser-24,1949.40
Aug,East,15222,Jim,Paper,Bond-20,1483.71
Nov,South,15208,Dwight,Paper,Laser-24,2296.92
Apr,East,15222,Michael,Paper,Card Stock,1668.28
Nov,East,15220,Jim,Paper,Bond-50,1976.87
Jan,East,15226,Jim,Paper,Laser-24,283.33
Feb,East,15224,Dwight,Paper,Bond-30,309.41
Nov,North,15120,Jim,Paper,Bond-50,270.16
Dec,East,15226,Jim,Paper,Bond-40,316.88
May,East,15226,Packer,Paper,Bond-50,692.56
Aug,East,15226,Dwight,Copier,S300,802.88
Mar,East,15217,Packer,Paper,Bond-30,72.18
Jan,North,15207,Jim,Paper,Bond-20,579.67
June,East,15217,Andy,Paper,Laser-24,1769.42
Aug,North,15206,Dwight,Paper,Bond-50,1123.78
Dec,East,15224,Dwight,Paper,Bond-30,2046.50
Oct,East,15226,Pam,Paper,Bond-50,802.45
June,North,15206,Michael,Paper,Laser-24,1027.88
Feb,East,15221,Dwight,Paper,Bond-40,289.32
Feb,South,15211,Dwight,Paper,Card Stock,2024.27
Jan,East,15226,Jim,Paper,Bond-50,2201.37
Jan,East,15226,Pam,Copier,S450,2480.25
Dec,North,15106,Packer,Copier,S200,1171.33
Jan,North,15203,Pam,Paper,Card Stock,556.26
Dec,East,15222,Jim,Paper,Bond-40,747.01
Apr,South,15215,Dwight,Paper,Bond-20,2008.26
Jan,East,15219,Dwight,Copier,S450,950.05
May,North,15120,Packer,Paper,Bond-50,46.81
Sept,North,15204,Jim,Paper,Bond-20,2275.99
Sept,East,15221,Jim,Paper,Laser-24,1345.18
Jan,West,15290,Jim,Paper,Laser-24,553.52
June,West,15234,Jim,Paper,Bond-30,357.97
May,South,15214,Jim,Copier,S100,1976.07
Apr,East,15224,Packer,Paper,Laser-24,188.10
Sept,East,15217,Jim,Paper,Card Stock,766.45
Mar,North,15120,Jim,Paper,Bond-30,256.31
Sept,East,15226,Jim,Paper,Bond-20,437.87
Feb,East,15217,Jim,Paper,Bond-30,1443.74
Dec,East,15224,Dwight,Copier,S200,71.06
June,South,15208,Jim,Paper,Laser-24,1636.64
May,East,15221,Pam,Paper,Bond-50,890.31
Mar,East,15222,Michael,Paper,Bond-30,709.91
Oct,East,15220,Dwight,Paper,Card Stock,1395.20
Apr,East,15221,Dwight,Paper,Bond-50,601.37
July,East,15224,Michael,Copier,S100,1205.36
Oct,North,15203,Dwight,Paper,Bond-50,457.71
Jan,South,15210,Jim,Paper,Bond-20,2099.85
June,East,15222,Michael,Paper,Laser-24,1136.26
June,East,15226,Dwight,Paper,Bond-20,774.27
Feb,East,15217,Michael,Paper,Bond-20,657.90
Jan,South,15215,Dwight,Paper,Bond-20,448.52
Aug,East,15222,Dwight,Paper,Bond-20,1405.63
July,East,15219,Jim,Paper,Bond-50,1172.66
Feb,East,15221,Jim,Paper,Bond-20,582.17
May,South,15213,Jim,Paper,Bond-50,721.51
July,East,15224,Jim,Paper,Bond-30,982.01
Mar,North,15203,Packer,Paper,Laser-24,312.16
Nov,West,15238,Jim,Copier,S400,2476.48
Mar,East,15224,Packer,Copier,S450,887.65
Apr,South,15210,Jim,Paper,Bond-50,2339.50
May,South,15212,Jim,Paper,Bond-30,1620.30
Apr,West,15232,Jim,Paper,Laser-24,1249.36
Jan,North,15205,Dwight,Paper,Bond-20,1739.10
Feb,East,15221,Andy,Paper,Laser-24,1886.85
June,North,15207,Jim,Paper,Bond-50,294.91
Mar,South,15211,Packer,Paper,Bond-30,2340.21
Nov,East,15222,Dwight,Paper,Bond-20,322.79
Nov,West,15260,Dwight,Paper,Bond-50,1042.31
Oct,South,15211,Packer,Paper,Laser-24,1056.97
June,East,15226,Jim,Copier,S450,1087.16
Sept,South,15208,Michael,Paper,Bond-20,737.77
June,South,15214,Jim,Paper,Bond-40,856.56
Dec,North,15205,Dwight,Paper,Bond-40,52.55
Oct,East,15220,Danny,Paper,Bond-40,1026.26
July,South,15216,Dwight,Paper,Bond-30,1460.64
Feb,East,15217,Dwight,Paper,Card Stock,709.89
June,South,15213,Dwight,Paper,Bond-40,831.03
Jan,East,15221,Packer,Paper,Laser-24,146.51
Jan,North,15106,Jim,Copier,S200,1111.25
Feb,East,15219,Jim,Paper,Card Stock,787.25
Feb,West,15235,Jim,Paper,Card Stock,597.30
Feb,East,15217,Jim,Paper,Laser-24,1240.01
Sept,East,15219,Michael,Copier,S450,892.58
July,East,15224,Jim,Paper,Laser-24,877.13
Sept,East,15219,Michael,Paper,Bond-20,945.51
Mar,East,15218,Jim,Paper,Bond-40,795.31
May,South,15214,Packer,Copier,S100,2450.22
July,East,15222,Dwight,Paper,Bond-40,2347.52
Feb,West,15236,Jim,Paper,Laser-24,540.24
Mar,East,15217,Jim,Paper,Bond-40,758.26
Mar,East,15221,Packer,Paper,Card Stock,825.07
Dec,East,15217,Michael,Paper,Laser-24,442.30
Mar,East,15218,Jim,Paper,Bond-40,125.77
Aug,East,15222,Packer,Paper,Bond-20,1630.63
Nov,East,15224,Jim,Paper,Laser-24,2461.28
Sept,East,15217,Jim,Paper,Bond-30,2414.04
June,North,15203,Dwight,Paper,Bond-40,242.95
Jan,South,15210,Packer,Copier,S100,2489.56
May,South,15214,Pam,Paper,Bond-30,2174.96
Feb,East,15226,Jim,Paper,Bond-30,390.67
Oct,North,15205,Danny,Paper,Bond-20,367.82
Jan,East,15217,Jim,Copier,S400,2187.40
Dec,East,15217,Dwight,Paper,Laser-24,996.82
Nov,South,15208,Dwight,Paper,Bond-40,1524.01
Oct,South,15210,Ryan,Copier,S450,2008.41
Nov,North,15204,Dwight,Paper,Bond-50,2166.13
Oct,South,15215,Michael,Paper,Bond-30,2292.04
Nov,East,15217,Dwight,Paper,Card Stock,812.28
July,North,15106,Packer,Paper,Bond-30,942.84
Feb,South,15210,Packer,Paper,Card Stock,397.54
July,West,15260,Michael,Paper,Bond-30,759.54
July,North,15206,Packer,Paper,Bond-40,517.51
Mar,East,15221,Jim,Paper,Bond-30,141.49
Dec,East,15226,Jim,Paper,Card Stock,664.63
Sept,East,15220,Jim,Paper,Card Stock,510.20
Aug,South,15215,Jim,Paper,Bond-20,1504.44
Nov,North,15201,Michael,Paper,Card Stock,398.02
July,East,15219,Dwight,Copier,S300,1077.21
Oct,South,15213,Dwight,Paper,Bond-50,746.53
Sept,North,15203,Packer,Paper,Bond-50,2276.29
Feb,East,15224,Dwight,Paper,Bond-30,2164.97
Jan,South,15213,Jim,Paper,Bond-40,891.89
Feb,East,15226,Dwight,Paper,Card Stock,1750.48
Sept,North,15204,Packer,Copier,S450,1164.07
Sept,East,15222,Danny,Paper,Bond-50,1383.24
Aug,North,15203,Dwight,Paper,Bond-50,653.51
Nov,East,15219,Dwight,Paper,Card Stock,1671.99
Mar,North,15203,Dwight,Paper,Laser-24,1416.14
Jan,East,15226,Dwight,Paper,Bond-50,871.98
Sept,West,15234,Jim,Paper,Bond-20,211.26
Sept,South,15215,Dwight,Paper,Bond-40,856.85
Oct,East,15217,Michael,Paper,Bond-50,1242.66
Sept,West,15290,Andy,Copier,S200,2233.44
Sept,East,15224,Packer,Paper,Bond-40,2016.44
Oct,South,15213,Dwight,Paper,Laser-24,1277.94
July,East,15220,Pam,Copier,S200,2185.97
Oct,East,15220,Packer,Paper,Bond-50,623.84
Feb,South,15210,Dwight,Paper,Card Stock,1376.22
Jan,East,15219,Packer,Paper,Bond-50,2097.97
Aug,North,15205,Packer,Paper,Bond-50,1879.05
Dec,North,15206,Dwight,Paper,Bond-20,2477.10
Jan,South,15214,Jim,Paper,Laser-24,2255.47
July,East,15221,Dwight,Paper,Bond-20,1909.86
Nov,East,15219,Jim,Paper,Card Stock,705.26
June,North,15205,Dwight,Paper,Bond-20,979.73
Feb,East,15222,Dwight,Paper,Card Stock,1179.43
Nov,South,15210,Dwight,Copier,S400,415.45
Feb,East,15220,Jim,Paper,Card Stock,124.55
Nov,North,15106,Packer,Paper,Bond-20,1520.01
May,East,15219,Dwight,Paper,Bond-50,1045.35
Nov,East,15219,Dwight,Paper,Bond-50,795.36
Feb,North,15203,Dwight,Paper,Laser-24,1708.60
Aug,North,15106,Jim,Paper,Bond-40,493.82
Aug,East,15219,Michael,Paper,Laser-24,226.14
May,South,15215,Dwight,Paper,Bond-40,1378.42
Apr,East,15217,Jim,Paper,Bond-40,610.98
Feb,South,15216,Dwight,Paper,Card Stock,1089.85
Apr,East,15221,Jim,Paper,Bond-40,1297.06
Nov,East,15218,Pam,Paper,Bond-20,1551.15
July,South,15215,Pam,Paper,Bond-40,1560.24
July,East,15224,Dwight,Paper,Bond-20,1827.74
Aug,East,15224,Dwight,Paper,Laser-24,543.68
Feb,West,15235,Dwight,Copier,S100,1936.63
Oct,North,15120,Dwight,Paper,Bond-20,274.52
Jan,North,15201,Dwight,Paper,Laser-24,1195.59
May,North,15204,Jim,Paper,Bond-40,1288.09
Aug,East,15224,Dwight,Paper,Bond-30,1427.25
Oct,West,15238,Michael,Copier,S100,93.39
Apr,South,15210,Jim,Paper,Bond-20,833.00
June,South,15215,Jim,Paper,Bond-40,1473.49
Oct,West,15235,Dwight,Paper,Bond-40,1295.42
Aug,East,15218,Pam,Paper,Bond-30,1851.66
Sept,North,15106,Pam,Paper,Bond-30,795.62
Aug,East,15220,Jim,Paper,Bond-30,605.90
Mar,North,15201,Jim,Paper,Laser-24,1554.68
June,East,15220,Dwight,Paper,Bond-40,2022.43
Sept,East,15219,Dwight,Paper,Bond-30,871.21
Mar,North,15203,Jim,Copier,S100,1180.67
Nov,East,15217,Dwight,Paper,Bond-50,1967.57
Apr,South,15208,Packer,Paper,Card Stock,1239.75
Mar,West,15236,Dwight,Paper,Card Stock,1959.36
June,North,15204,Jim,Paper,Laser-24,903.00
Feb,North,15206,Dwight,Paper,Card Stock,2082.61
May,East,15220,Jim,Copier,S300,2438.66
Jan,East,15224,Jim,Paper,Bond-20,66.29
Apr,West,15290,Dwight,Paper,Laser-24,1841.86
Nov,East,15219,Jim,Paper,Laser-24,2111.36
Apr,South,15214,Dwight,Paper,Bond-30,1459.74
Sept,East,15218,Michael,Paper,Laser-24,1493.31
Feb,East,15221,Jim,Paper,Laser-24,1704.38
Oct,East,15224,Pam,Copier,S200,2312.52
Apr,East,15221,Dwight,Paper,Laser-24,305.48
Aug,East,15217,Jim,Paper,Card Stock,528.46
Aug,East,15226,Jim,Paper,Bond-30,559.53
June,East,15218,Dwight,Paper,Bond-30,247.08
Dec,North,15106,Jim,Paper,Laser-24,2303.32
Mar,South,15216,Packer,Copier,S200,956.39
Aug,East,15224,Ryan,Paper,Bond-50,1247.71
Nov,North,15207,Dwight,Copier,S200,1703.05
June,South,15212,Jim,Paper,Card Stock,671.86
Nov,North,15205,Michael,Paper,Bond-40,1416.18
Mar,South,15208,Packer,Paper,Bond-30,1719.07
Dec,North,15120,Dwight,Paper,Bond-40,1447.96
July,East,15220,Dwight,Paper,Laser-24,216.91
May,North,15206,Dwight,Paper,Bond-40,745.40
Dec,North,15203,Jim,Paper,Bond-30,1433.43
Sept,South,15212,Dwight,Paper,Bond-40,1722.47
Sept,East,15224,Jim,Paper,Card Stock,1531.51
July,North,15201,Dwight,Paper,Bond-50,563.38
Jan,East,15224,Jim,Copier,S400,1889.75
Nov,North,15204,Michael,Paper,Laser-24,1865.47
Dec,East,15226,Michael,Copier,S200,1819.45
Oct,South,15215,Jim,Paper,Bond-50,345.77
Dec,East,15220,Packer,Paper,Laser-24,1924.15
Feb,South,15210,Pam,Paper,Bond-40,88.58
Apr,East,15221,Jim,Paper,Bond-20,714.60
Nov,East,15218,Jim,Paper,Laser-24,842.41
Jan,South,15214,Michael,Paper,Bond-30,2076.12
Mar,South,15215,Dwight,Paper,Bond-20,1842.82
Sept,East,15224,Jim,Copier,S200,765.23
Feb,South,15210,Dwight,Paper,Bond-50,1619.54
Nov,North,15106,Michael,Copier,S100,1071.46
Sept,East,15221,Jim,Paper,Bond-20,1293.45
July,North,15106,Michael,Paper,Bond-50,756.67
Sept,East,15221,Dwight,Paper,Bond-50,1250.98
Jan,North,15205,Jim,Paper,Laser-24,2138.63
Feb,West,15290,Dwight,Paper,Bond-50,185.35
Jan,East,15222,Jim,Paper,Bond-40,2478.55
July,North,15201,Dwight,Copier,S450,1318.94
Feb,East,15226,Jim,Paper,Bond-50,1805.99
Oct,North,15204,Dwight,Paper,Bond-30,1274.46
June,North,15206,Dwight,Paper,Card Stock,1198.54
July,South,15216,Jim,Paper,Bond-30,32.30
Oct,West,15236,Dwight,Paper,Bond-50,327.58
Mar,East,15219,Jim,Paper,Card Stock,2238.44
May,West,15233,Jim,Copier,S300,663.16
July,East,15221,Jim,Paper,Laser-24,707.87
Nov,East,15226,Dwight,Paper,Bond-50,1227.69
Aug,North,15201,Dwight,Copier,S100,1823.39
July,East,15221,Dwight,Paper,Bond-30,952.79
Dec,East,15217,Dwight,Paper,Bond-20,1751.04
Apr,South,15208,Dwight,Paper,Bond-30,1687.31
Aug,East,15218,Dwight,Paper,Bond-30,496.71
Feb,South,15214,Jim,Copier,S450,2480.06
May,East,15217,Dwight,Paper,Bond-30,2069.17
Jan,East,15220,Dwight,Copier,S450,192.55
June,East,15220,Jim,Paper,Laser-24,1472.26
Apr,West,15235,Dwight,Paper,Laser-24,1930.11
June,South,15215,Pam,Paper,Bond-20,1487.20
Sept,East,15224,Packer,Paper,Card Stock,442.40
Nov,South,15212,Dwight,Copier,S400,2136.84
Dec,East,15219,Dwight,Paper,Bond-50,530.04
Sept,East,15219,Jim,Paper,Bond-40,1818.33
Apr,North,15205,Jim,Paper,Bond-40,712.05
Mar,East,15224,Dwight,Paper,Bond-40,266.77
Dec,East,15222,Dwight,Paper,Bond-40,1274.87
June,East,15222,Dwight,Paper,Bond-30,1964.44
Dec,East,15221,Pam,Paper,Card Stock,2395.12
Oct,South,15214,Jim,Paper,Bond-20,1391.20
Oct,East,15219,Dwight,Paper,Laser-24,949.13
June,West,15235,Jim,Paper,Bond-50,913.79
Nov,East,15226,Jim,Paper,Bond-30,1104.09
Apr,North,15206,Dwight,Paper,Bond-20,1364.72
Apr,East,15222,Jim,Paper,Bond-30,1987.00
Apr,East,15226,Jim,Paper,Bond-40,1040.95
Feb,East,15218,Packer,Paper,Card Stock,1414.01
Apr,West,15227,Jim,Paper,Bond-20,1716.52
Sept,East,15218,Jim,Paper,Laser-24,1885.54
Mar,East,15222,Dwight,Paper,Bond-50,1409.42
Oct,East,15217,Michael,Copier,S400,942.51
Mar,East,15222,Michael,Paper,Bond-40,79.89
Aug,South,15213,Jim,Copier,S100,1653.51
Mar,East,15222,Dwight,Paper,Bond-50,2091.45
Sept,East,15222,Dwight,Paper,Card Stock,844.27
June,East,15224,Jim,Paper,Bond-20,1519.84
May,East,15226,Jim,Paper,Laser-24,1517.17
Aug,South,15213,Jim,Copier,S100,2351.83
Sept,East,15217,Jim,Copier,S100,1431.29
Dec,East,15218,Dwight,Paper,Bond-50,2159.06
June,North,15206,Dwight,Paper,Bond-30,1999.24
June,South,15214,Dwight,Paper,Bond-50,1742.82
Apr,West,15234,Jim,Paper,Bond-20,1255.21
July,East,15219,Packer,Paper,Bond-30,1485.48
Nov,North,15206,Jim,Paper,Laser-24,1409.07
Feb,North,15201,Andy,Paper,Bond-50,1913.73
Nov,North,15106,Dwight,Paper,Bond-40,375.94
May,East,15217,Michael,Paper,Bond-20,1928.35
Dec,East,15220,Dwight,Paper,Card Stock,610.52
Nov,East,15218,Jim,Paper,Card Stock,468.58
Jan,North,15205,Dwight,Paper,Bond-50,1969.15
Feb,East,15226,Dwight,Paper,Laser-24,2380.23
Mar,South,15208,Andy,Paper,Card Stock,1896.05
Jan,East,15218,Michael,Paper,Laser-24,1793.04
June,East,15226,Pam,Paper,Bond-50,1554.40
Mar,South,15212,Packer,Paper,Bond-50,1873.76
July,East,15221,Jim,Paper,Laser-24,1319.77
Jan,East,15224,Jim,Paper,Bond-50,463.33
